officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
A.Gs Office S.O,500004,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Khairatabad,Hyderabad,TELANGANA,040-23428311,NA,Hyderabad G.P.O. ,NA,NA
A.Gs. Staff Quarters S.O,500045,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Khairatabad,Hyderabad,TELANGANA,040-23428373,NA,Khairatabad H.O,NA,NA
Anandnagar S.O (Hyderabad),500004,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Khairatabad,Hyderabad,TELANGANA,040-23428326,NA,Khairatabad H.O,NA,NA
AP Police Academy PO,500091,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Rajendra Nagar,Hyderabad,TELANGANA,NA,NA,Hyderabad G.P.O. ,NA,NA
Appa Himayathsagar B.O,500008,B.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Rajendranagar,K.V.Rangareddy,TELANGANA,NA,Golconda S.O,Hyderabad G.P.O. ,NA,NA
Aziz Nagar B.O,500075,B.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Moinabad,K.V.Rangareddy,TELANGANA,NA,C.B.I.T S.O,Hyderabad G.P.O. ,NA,NA
Banjara Hills S.O,500034,S.O,Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Khairatabad,Hyderabad,TELANGANA,040-23428313,NA,Khairatabad H.O,NA,NA
Bazarghat S.O (Hyderabad),500004,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Khairatabad,Hyderabad,TELANGANA,040-23428314,NA,Khairatabad H.O,NA,NA
Bharat Nagar Colony S.O,500018,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,Balanagar,K.V.Rangareddy,TELANGANA,040-23463377,NA,Khairatabad H.O,NA,NA
Bhaskar Nagar S.O,500075,S.O,Non-Delivery,Hyderabad City,Hyderabad City,Andhra Pradesh,NA,Hyderabad,TELANGANA,NA,NA,Hyderabad G.P.O. ,NA,NA
